NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN

Site ID: CA45 Date Range: 1/1/1979 to 10/1/2017 Report Date: 7/30/2017 2:32:58 PM
"SiteID","Date On","Date Off","ldCa","Ca","ldMg","Mg","ldK","K","ldNa","Na","ldNH4","NH4","ldNO3","NO3","ldCl","Cl","ldSO4","SO4","pH Lab","pH Field","pH FV","Lab Cond","Field Cond","FV Cond","Svol","RG Ppt","Sub Ppt","Lab Type","Valcode","Invalcode","Notes"

"CA45","10/03/1979","10/09/1979"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","10/09/1979","10/16/1979"," ",0.080," ",0.035," ",0.030," ",0.447," ",0.040," ",0.300," ",0.260," ",0.500,6.05,5.30,"i",6.0,5.6,"i",-9.0,10.67,10.670,"w ","w ","            ",""
"CA45","10/16/1979","10/23/1979"," ",0.040," ",0.074," ",0.024," ",0.565,"<",0.020," ",0.120," ",0.940," ",0.300,5.56,5.60,"i",6.0,8.0,"i",2951.0,44.70,44.700,"w ","w ","            ",""
"CA45","10/23/1979","10/30/1979","<",0.020," ",0.010," ",0.010," ",0.103,"<",0.020," ",0.120," ",0.120," ",0.150,5.47,5.60,"i",2.4,4.5,"i",4241.0,65.79,65.790,"w ","w ","            ",""
"CA45","10/30/1979","11/06/1979"," ",0.050," ",0.048," ",0.014," ",0.320," ",0.030," ",0.500," ",0.520," ",0.500,5.19,5.05,"i",6.4,8.8,"i",2986.5,47.75,47.750,"w ","w ","            ",""
"CA45","11/06/1979","11/13/1979"," ",0.060," ",0.026," ",0.011," ",1.038," ",0.260," ",1.050," ",0.410," ",1.200,6.06,5.10,"i",8.9,8.7,"i",1762.0,28.19,28.190,"w ","w ","            ",""
"CA45","11/13/1979","11/20/1979","<",0.020," ",0.010," ",0.009," ",0.121,"<",0.020," ",0.520," ",0.060," ",0.200,5.15,5.10,"i",4.4,5.6,"i",4327.0,67.06,67.060,"w ","w ","            ",""
"CA45","11/20/1979","11/27/1979"," ",0.030," ",0.014," ",0.013," ",0.749,"<",0.020," ",0.520," ",0.280," ",0.600,5.32,4.90,"i",6.2,7.2,"i",2204.5,37.08,37.080,"w ","w ","            ",""
"CA45","11/27/1979","12/04/1979"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",2.8,-9.00,0.041,"t ","t ","            ",""
"CA45","12/04/1979","12/11/1979"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,6.91,-9.00,"-",-9.0,-9.0,"-",1.4,0.00,0.000,"t ","d ","            ",""
"CA45","12/11/1979","12/18/1979"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","12/18/1979","12/26/1979","<",0.020," ",0.024," ",0.009," ",0.204,"<",0.020," ",0.260," ",0.400," ",0.300,5.24,5.10,"i",4.7,4.7,"i",7984.0,127.25,127.250,"w ","w ","            ",""
"CA45","12/26/1979","01/02/1980","<",0.020," ",0.018," ",0.006," ",0.354,"<",0.020," ",0.400," ",0.250," ",0.700,5.23,5.10,"i",5.0,5.2,"i",4448.1,69.60,69.600,"w ","w ","            ",""
"CA45","01/02/1980","01/08/1980"," ",0.340," ",0.061," ",0.016," ",1.888,"<",0.050," ",1.270," ",0.400," ",2.120,6.42,-9.00,"-",13.2,-9.0,"-",46.1,0.76,0.760,"wa","wa","            ",""
"CA45","01/08/1980","01/15/1980"," ",0.030," ",0.054," ",0.017," ",1.007,"<",0.020," ",0.050," ",0.930," ",0.750,5.71,5.30,"i",7.0,5.4,"i",10545.5,157.99,157.990,"w ","w ","            ",""
"CA45","01/15/1980","01/22/1980"," ",0.070," ",0.025," ",0.027," ",0.111," ",0.120," ",0.460,"<",0.050," ",0.350,5.76,5.80,"i",2.9,4.1,"i",1046.7,18.80,18.800,"w ","w ","            ",""
"CA45","01/22/1980","01/29/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,5.44,-9.00,"-",-9.0,-9.0,"-",2.0,0.00,0.000,"t ","d ","            ",""
"CA45","01/29/1980","02/05/1980"," ",0.050," ",0.015," ",0.016," ",0.047," ",0.320," ",1.570,"<",0.050," ",0.450,4.96,4.80,"i",8.9,8.2,"i",193.2,6.10,6.100,"w ","w ","            ",""
